,imdb_id,title,genres,country,production_companies,budget,revenue,duration,actors,director,month,date,year
731,282698,Love Liza (2002),Drama,1,Starhaus Filmproduktion;Wild Bunch;StudioCanal,1000000,15522,90,Philip Seymour Hoffman;Annie Morgan;Kathy Bates;J.D. Walsh;Jimmy Raskin;Erika Alexander;Sarah Koskoff;Mark Hannibal;Jim Wise;Trace Turville;Wayne Duvall;Stephen Tobolowsky;Kevin Breznahan;Jennifer Keddy;David Lenthall;Jack Kehler;Pauline Boyd;Ernest Perry Jr.,Todd Louiso,January,31,2003
732,245341,P.S. Your Cat is Dead (2002),Comedy,0,Mr. Kirby Productions,2000000,9424,92,Steve Guttenberg;Cynthia Watros;Lombardo Boyar;A.J. Benza;Tom Wright;Shirley Knight;Kenneth Moskow;Paul Dillon;Fred Medrano;Ann Guttenberg;Stanley Guttenberg;Kim Marriner;Patsy Fitzgerald;Christopher Vogler;Lisa Popeil;Susan Stahnke;Frederick Lawrence;Tom Mesmer,Steve Guttenberg,February,22,2002
733,287934,Big Shot's Funeral (Da Wan) (2001),Comedy,1,China Film Group Corporation (CFGC);Columbia Pictures Film Production Asia;Columbia Pictures,3300000,529,107,Donald Sutherland;Rosamund Kwan;Paul Mazursky;You Ge;Da Ying;Ping He;Biao Fu;Chengru Li;Christopher Barden;Hanyu Zhang;Paul Duke;Xiaogeng Li;Yiwei Liu;Xiao-Li Xu;Ye Hong;Yuan De-Wang;Xilin Zhang;Xin Yang,Xiaogang Feng,December,21,2001
734,103671,American Me (1992),Drama,0,Hivemind;Olmos Productions;Universal Pictures,16000000,3378100,125,Edward James Olmos;William Forsythe;Sal Lopez;Vira Montes;Roberto Martín Márquez;Dyana Ortelli;Joe Aubel;Rob Garrett;Lance August;Cody Glenn;Don Pugsley;Panchito Gómez;Albert Joe Medina Jr.;Alex Solís;Raymond Amezquita;Steve Wilcox;Richard Coca;Javier Castellanos,Edward James Olmos,March,13,1992
735,106500,CB4 - The Movie (1993),Comedy,0,Imagine Entertainment;Universal Pictures,6000000,6122450,89,Chris Rock;Allen Payne;Deezer D;Chris Elliott;Phil Hartman;Charlie Murphy;Khandi Alexander;Art Evans;Theresa Randle;Willard E. Pugh;Ty Granderson Jones;Rachel True;Victor Wilson;Richard Gant;J.D. Daniels;Stoney Jackson;Isaac Hayes;LaWanda Page,Tamra Davis,March,12,1993
736,102500,Mystery Date (1991),Comedy,0,Orion Pictures,10000000,1952569,97,Ethan Hawke;Teri Polo;Brian McNamara;Fisher Stevens;BD Wong;Tony Rosato;Don S. Davis;James Hong;Victor Wong;Ping Wu;Duncan Fraser;Jerry Wasserman;Terry David Mulligan;Merrilyn Gann;Stephen Chang;Russell Jung;Michele Little;Allan Lysell,Jonathan Wacks,August,16,1991
737,106833,Ethan Frome (1993),Drama,1,American Playhouse;British Broadcasting Corporation (BBC);Richard Price,3000000,57623,99,Liam Neeson;Patricia Arquette;Gil Rood;Tate Donovan;Stephen Mendillo;Phil Garran;Virginia Smith;Annie Nessen;Katharine Houghton;Marcie Vaughan;Burt Porter;Rusty De Wees;Paul Donlon;Joan Allen;Robert Nutt;David Dellinger;W. Clark Noyes;Howard Boardman,John Madden,March,12,1993
738,107079,Sugar Hill (1994),Drama,0,Beacon Communications;Beacon Pictures;Ghiznoz Productions,10000000,5712485,123,Wesley Snipes;Michael Wright;Khandi Alexander;DeVaughn Nixon;Marquise Wilson;O.L. Duke;Clarence Williams III;Abe Vigoda;Anthony Thomas;John Pittman;Steve Harris;Michael Guess;Kimberly Russell;Theresa Randle;Abdul Mutakabbir;Yusaf Ramadan;Karl Johnson;Andre Lamal,Leon Ichaso,February,25,1994
739,83947,Five Days One Summer (1982),Drama,0,Cable and Wireless Finance;Major Studio Partners;The Ladd Company,15000000,43891,96,Sean Connery;Betsy Brantley;Lambert Wilson;Jennifer Hilary;Isabel Dean;Gérard Buhr;Anna Massey;Sheila Reid;Georges Claisse;Kathy Marothy;Terry Kingley;Emilie Lihou;Alfred Schmidhauser;Jerry Brouer;Marc Duret;François Caron;Benoît Ferreux;Alexander John,Fred Zinnemann,,19,1982
740,84477,Partners (1982),Comedy,0,Paramount Pictures;Aaron Russo Productions,6000000,2318801,93,Ryan O'Neal;John Hurt;Kenneth McMillan;Robyn Douglass;Jay Robinson;Denise Galik;Joseph R. Sicari;Michael McGuire;Rick Jason;James Remar;Jennifer Ashley;Darrell Larson;Tony March;Seamon Glass;Steven Reisch;Carl Kraines;Bob Ozman;Carol Williard,James Burrows,April,30,1982
741,84691,Six Weeks (1982),Drama,0,PolyGram Pictures;Guber-Peters Company,9000000,978541,107,Dudley Moore;Mary Tyler Moore;Katherine Healy;Shannon Wilcox;Bill Calvert;Joe Regalbuto;John Harkins;Michael Ensign;Anne Ditchburn;Chea Collette;Clement von Franckenstein;Joan Yale Edmundson;Emily Seltzer;Martin Casella;Darwyn Carson;Fausto Barajas;Darrell Larson;Frank Adamo,Tony Bill,December,17,1982
742,91575,Murphy's Law (1986),Action,0,Cannon Group;Golan-Globus Productions,6000000,3388907,100,Charles Bronson;Kathleen Wilhoite;Carrie Snodgress;Robert F. Lyons;Richard Romanus;Angel Tompkins;Bill Henderson;James Luisi;Clifford A. Pellow;Janet MacLachlan;Lawrence Tierney;Jerome Thor;Mischa Hausserman;Cal Haynes;Hans Howes;Joseph Roman;Chris DeRose;Frank Annese,J. Lee Thompson,April,18,1986
743,302886,Old School (2003),Comedy,0,Dreamworks Pictures;The Montecito Picture Company,24000000,17453216,88,Luke Wilson;Vince Vaughn;Will Ferrell;Jeremy Piven;Ellen Pompeo;Juliette Lewis;Leah Remini;Perrey Reeves;Craig Kilborn;Elisha Cuthbert;Seann William Scott;Matt Walsh;Artie Lange;Patrick Fischler;Sara Tanaka;Harve Presnell;Katherine Ellis;Phe Caplan,Todd Phillips,February,21,2003
744,102303,Life Stinks (1991),Comedy,0,Brooksfilms;MGM-Pathé Communications Co.,13000000,1920215,92,Mel Brooks;Lesley Ann Warren;Jeffrey Tambor;Stuart Pankin;Howard Morris;Rudy De Luca;Teddy Wilson;Michael Ensign;Matthew Faison;Billy Barty;Brian Thompson;Raymond O'Connor;Carmine Caridi;Sammy Shore;Frank Roman;Marvin Braverman;Robert Ridgely;John Welsh,Mel Brooks,July,26,1991
